Timestamp,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DayOfWeek,Holiday,EnergyConsumption
01/01/2022 00:00,25.13943344,43.4315812,1565.693999,5,TRUE,FALSE,2.774698792,Monday,FALSE,75.3643734
01/01/2022 01:00,27.73165052,54.22591858,1411.064918,1,TRUE,TRUE,21.83138415,Saturday,FALSE,83.40185495
01/01/2022 02:00,28.70427686,58.90765774,1755.715009,2,FALSE,FALSE,6.764671682,Sunday,FALSE,78.27088774
01/01/2022 03:00,20.08046949,50.37163715,1452.316318,1,FALSE,TRUE,8.623446893,Wednesday,FALSE,56.51985049
01/01/2022 04:00,23.09735926,51.40142134,1094.130359,9,TRUE,FALSE,3.071969216,Friday,FALSE,70.81173247
01/01/2022 05:00,29.57603739,36.82426323,1871.70918,6,FALSE,FALSE,17.62668982,Sunday,TRUE,84.32188519
01/01/2022 06:00,25.13116712,35.70962155,1607.001228,6,TRUE,FALSE,24.26470233,Friday,TRUE,76.1657909
01/01/2022 07:00,23.18284425,31.67991978,1633.95533,8,FALSE,FALSE,27.51709925,Thursday,TRUE,74.13190618
01/01/2022 08:00,25.39199937,46.39936405,1240.309224,6,TRUE,FALSE,2.307595469,Sunday,FALSE,78.20623587
01/01/2022 09:00,22.21254942,32.41846388,1705.420336,1,TRUE,FALSE,29.14007098,Tuesday,FALSE,77.9922137
01/01/2022 10:00,28.06481358,36.45147179,1341.467129,2,FALSE,FALSE,0.352238397,Monday,TRUE,82.27443448
01/01/2022 11:00,23.42254626,30.52734216,1604.418355,6,TRUE,TRUE,19.52954815,Thursday,TRUE,73.2786695
01/01/2022 12:00,25.38888849,47.60101803,1244.618914,1,TRUE,FALSE,21.7974436,Tuesday,TRUE,84.14477566
01/01/2022 13:00,20.05873786,41.86164159,1806.052632,2,FALSE,FALSE,6.384949152,Friday,TRUE,60.02251856
01/01/2022 14:00,26.73152478,37.29787045,1419.749014,6,FALSE,FALSE,12.07422314,Friday,TRUE,81.18318756
01/01/2022 15:00,22.10024262,56.09917872,1144.806295,8,FALSE,TRUE,10.90077003,Sunday,FALSE,74.08125629
01/01/2022 16:00,29.32557593,56.95417357,1620.861781,0,TRUE,TRUE,15.45399947,Friday,FALSE,89.49820766
01/01/2022 17:00,23.74244749,42.24584548,1413.595107,1,TRUE,FALSE,3.940678288,Sunday,TRUE,72.87244264
01/01/2022 18:00,27.52418922,47.17242968,1832.199779,9,TRUE,FALSE,19.68895831,Thursday,FALSE,83.8998966
01/01/2022 19:00,27.63139002,36.14029374,1251.553721,4,TRUE,TRUE,8.848082816,Wednesday,TRUE,82.0775794
01/01/2022 20:00,28.70499455,59.93189479,1211.261802,9,TRUE,TRUE,11.70397774,Friday,TRUE,94.23628773
01/01/2022 21:00,21.10111178,30.41800645,1677.105261,3,FALSE,FALSE,14.51720371,Sunday,TRUE,59.67238043
01/01/2022 22:00,23.0009198,43.63838293,1228.322377,1,FALSE,FALSE,4.302844586,Saturday,FALSE,70.23522762
01/01/2022 23:00,24.74905766,57.21684865,1253.70886,6,TRUE,TRUE,0.660337546,Tuesday,FALSE,78.39420777
01/02/2022 00:00,26.72936719,46.19408777,1533.887523,8,TRUE,FALSE,18.58103401,Wednesday,FALSE,87.84164466
